Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0160451028345501	
Error Kobs	0.000303409825786495	
Koff	0.0239410401360881	
Error Koff	0.000717833264524889	
Time1	Data1	Fit1	
538.42	0.02491828	0.0238967	
538.62	0.02507826	0.02396448	
538.82	0.02600509	0.02403203	
539.02	0.02548317	0.02409937	
539.22	0.02529233	0.0241665	
539.42	0.02565933	0.02423341	
539.62	0.02633498	0.0243001	
539.82	0.02659858	0.02436658	
540.02	0.0268284	0.02443285	
540.22	0.02790617	0.02449891	
540.42	0.02746707	0.02456475	
540.62	0.02784644	0.02463038	
540.82	0.0282538	0.02469581	
541.02	0.02916736	0.02476102	
541.22	0.02898466	0.02482603	
541.42	0.02916779	0.02489082	
541.62	0.02837605	0.02495541	
541.82	0.02824997	0.02501979	
542.02	0.02873225	0.02508397	
542.22	0.02856511	0.02514794	
542.42	0.02836864	0.0252117	
542.62	0.02864237	0.02527526	
542.82	0.02851766	0.02533862	
543.02	0.02801244	0.02540177	
543.22	0.02789928	0.02546473	
543.42	0.02818488	0.02552747	
543.62	0.02851856	0.02559002	
543.82	0.02859653	0.02565237	
544.02	0.02894237	0.02571452	
544.22	0.0292294	0.02577647	
544.42	0.02834937	0.02583822	
544.62	0.02849957	0.02589977	
544.82	0.02839833	0.02596113	
545.02	0.02810633	0.02602229	
545.22	0.02733295	0.02608325	
545.42	0.02703123	0.02614402	
545.62	0.02689922	0.0262046	
545.82	0.02673543	0.02626498	
546.02	0.02657115	0.02632516	
546.22	0.02707215	0.02638515	
546.42	0.02730119	0.02644496	
546.62	0.02745356	0.02650456	
546.82	0.02765569	0.02656398	
547.02	0.02747141	0.02662321	
547.22	0.0269209	0.02668225	
547.42	0.02803038	0.0267411	
547.62	0.0289752	0.02679976	
547.82	0.02933962	0.02685823	
548.02	0.02996292	0.02691652	
548.22	0.03038638	0.02697462	
548.42	0.03081445	0.02703253	
548.62	0.03089538	0.02709025	
548.82	0.03103663	0.0271478	
549.02	0.03082309	0.02720515	
549.22	0.03130954	0.02726233	
549.42	0.03107271	0.02731932	
549.62	0.03038719	0.02737613	
549.82	0.02952177	0.02743275	
550.02	0.02985216	0.0274892	
550.22	0.02983573	0.02754546	
550.42	0.02972221	0.02760154	
550.62	0.02928588	0.02765745	
550.82	0.02937697	0.02771317	
551.02	0.02901031	0.02776872	
551.22	0.02887514	0.02782409	
551.42	0.02940703	0.02787928	
551.62	0.02910215	0.02793429	
551.82	0.02927423	0.02798913	
552.02	0.02933075	0.02804379	
552.22	0.0294525	0.02809828	
552.42	0.02973953	0.02815259	
552.62	0.03013946	0.02820673	
552.82	0.03026663	0.02826069	
553.02	0.03022621	0.02831449	
553.22	0.03017951	0.02836811	
553.42	0.03023552	0.02842155	
553.62	0.03053914	0.02847483	
553.82	0.03103454	0.02852794	
554.02	0.03161929	0.02858087	
554.22	0.0320816	0.02863364	
554.42	0.03264363	0.02868624	
554.62	0.03263119	0.02873866	
554.82	0.03358766	0.02879092	
555.02	0.0336339	0.02884302	
555.22	0.03280842	0.02889494	
555.42	0.03170424	0.0289467	
555.62	0.03141877	0.0289983	
555.82	0.03177139	0.02904973	
556.02	0.03115153	0.02910099	
556.22	0.03173754	0.02915209	
556.42	0.03152843	0.02920303	
556.62	0.03150398	0.0292538	
556.82	0.03079243	0.02930441	
557.02	0.03059251	0.02935486	
557.22	0.03060859	0.02940514	
557.42	0.03107355	0.02945527	
557.62	0.03156413	0.02950523	
557.82	0.03140923	0.02955504	
558.02	0.03151683	0.02960468	
558.22	0.03168203	0.02965417	
558.42	0.03246585	0.0297035	
558.62	0.0332999	0.02975267	
558.82	0.03430178	0.02980168	
559.02	0.03432088	0.02985053	
559.22	0.03460766	0.02989923	
559.42	0.03544795	0.02994777	
559.62	0.03593789	0.02999616	
559.82	0.03616667	0.03004439	
560.02	0.03627602	0.03009247	
560.22	0.03620073	0.03014039	
560.42	0.03531862	0.03018816	
560.62	0.0352209	0.03023578	
560.82	0.03460468	0.03028324	
561.02	0.03369339	0.03033056	
561.22	0.03335049	0.03037772	
561.42	0.03273576	0.03042473	
561.62	0.03279282	0.03047158	
561.82	0.03242027	0.03051829	
562.02	0.03208693	0.03056485	
562.22	0.03213915	0.03061126	
562.42	0.03277807	0.03065752	
562.62	0.03235981	0.03070363	
562.82	0.03168365	0.0307496	
563.02	0.0314501	0.03079542	
563.22	0.03192068	0.03084109	
563.42	0.03174434	0.03088661	
563.62	0.03128615	0.03093199	
563.82	0.03154763	0.03097723	
564.02	0.03107092	0.03102231	
564.22	0.03115811	0.03106726	
564.42	0.03123183	0.03111206	
564.62	0.03158221	0.03115671	
564.82	0.03221513	0.03120123	
565.02	0.03222695	0.0312456	
565.22	0.03238867	0.03128983	
565.42	0.03260265	0.03133392	
565.62	0.03353822	0.03137786	
565.82	0.03331392	0.03142167	
566.02	0.03264185	0.03146533	
566.22	0.03287283	0.03150886	
566.42	0.03263911	0.03155224	
566.62	0.03243522	0.03159549	
566.82	0.03188558	0.03163859	
567.02	0.0320815	0.03168156	
567.22	0.03213435	0.0317244	
567.42	0.03210485	0.03176709	
567.62	0.0322407	0.03180965	
567.82	0.0320573	0.03185207	
568.02	0.03209456	0.03189436	
568.22	0.03289584	0.03193651	
568.42	0.03214747	0.03197852	
568.62	0.03327325	0.0320204	
568.82	0.03336549	0.03206215	
569.02	0.03305376	0.03210376	
569.22	0.03276224	0.03214524	
569.42	0.03318198	0.03218659	
569.62	0.03266267	0.0322278	
569.82	0.03235567	0.03226888	
570.02	0.03236308	0.03230983	
570.22	0.03192131	0.03235065	
570.42	0.03168724	0.03239134	
570.62	0.0318238	0.0324319	
