Conc1	1.111E-07	
Start1	480.02	
Stop1	5779.82	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
666.42	0.01053021		
666.62	0.01051063		
666.82	0.01051543		
667.02	0.01063838		
667.22	0.01050755		
667.42	0.01103329		
667.62	0.0111707		
667.82	0.01140004		
668.02	0.01149857		
668.22	0.01165775		
668.42	0.01102042		
668.62	0.01110512		
668.82	0.01063154		
669.02	0.01043355		
669.22	0.00988782		
669.42	0.01031305		
669.62	0.00997712		
669.82	0.0099309		
670.02	0.01061501		
670.22	0.01051994		
670.42	0.01028848		
670.62	0.01023301		
670.82	0.01080867		
671.02	0.01092621		
671.22	0.01174637		
671.42	0.01213123		
671.62	0.01262622		
671.82	0.01281484		
672.02	0.01296878		
672.22	0.01273548		
672.42	0.01283568		
672.62	0.01341335		
672.82	0.0127605		
673.02	0.01288389		
673.22	0.01239488		
673.42	0.01174766		
673.62	0.01113071		
673.82	0.01063096		
674.02	0.01045765		
674.22	0.00997126		
674.42	0.01044985		
674.62	0.01069395		
674.82	0.0114655		
675.02	0.01154141		
675.22	0.01139468		
675.42	0.01017893		
675.62	0.0108742		
675.82	0.01120972		
676.02	0.01161246		
676.22	0.01197153		
676.42	0.01234862		
676.62	0.01234244		
676.82	0.01349593		
677.02	0.01363067		
677.22	0.01306019		
677.42	0.01271466		
677.62	0.01292716		
677.82	0.01248397		
678.02	0.01246078		
678.22	0.01218019		
678.42	0.01177001		
678.62	0.01121385		
678.82	0.01159098		
679.02	0.01042704		
679.22	0.00963839		
679.42	0.0093171		
679.62	0.01029043		
679.82	0.01059644		
680.02	0.01045936		
680.22	0.01063936		
680.42	0.01151674		
680.62	0.01250266		
680.82	0.01327042		
681.02	0.01237054		
681.22	0.0126078		
681.42	0.01363382		
681.62	0.01404366		
681.82	0.01457291		
682.02	0.0146165		
682.22	0.0138851		
682.42	0.01392003		
682.62	0.01398585		
682.82	0.01393625		
683.02	0.01282061		
683.22	0.01293171		
683.42	0.01230524		
683.62	0.01239823		
683.82	0.01231979		
684.02	0.01180797		
684.22	0.01169182		
684.42	0.01218942		
684.62	0.01153645		
684.82	0.01070168		
685.02	0.01094199		
685.22	0.01169504		
685.42	0.01243547		
685.62	0.01299516		
685.82	0.01308861		
686.02	0.01289931		
686.22	0.01263306		
686.42	0.01321412		
686.62	0.01248282		
686.82	0.01206771		
687.02	0.01203704		
687.22	0.01172925		
687.42	0.01160689		
687.62	0.01257618		
687.82	0.01214935		
688.02	0.01239594		
688.22	0.01263672		
688.42	0.01239087		
688.62	0.01170612		
688.82	0.01202001		
689.02	0.01204026		
689.22	0.01208832		
689.42	0.01229269		
689.62	0.01206621		
689.82	0.01142027		
690.02	0.01187639		
690.22	0.01179866		
690.42	0.01181978		
690.62	0.0117281		
690.82	0.01146536		
691.02	0.0114771		
691.22	0.01150361		
691.42	0.01208926		
691.62	0.01228383		
691.82	0.01209173		
692.02	0.01314144		
692.22	0.01276816		
692.42	0.01241927		
692.62	0.01202108		
692.82	0.01149167		
693.02	0.01120258		
693.22	0.01117765		
693.42	0.01095581		
693.62	0.01039325		
693.82	0.00968044		
694.02	0.00951381		
694.22	0.00929473		
694.42	0.00928193		
694.62	0.008963		
694.82	0.00865799		
695.02	0.00961296		
695.22	0.00973821		
695.42	0.00970368		
695.62	0.00960514		
695.82	0.00958891		
696.02	0.0097232		
696.22	0.00963308		
696.42	0.00943723		
696.62	0.00809097		
696.82	0.00828892		
697.02	0.00848959		
697.22	0.00839188		
697.42	0.00846162		
697.62	0.00839448		
697.82	0.00791782		
698.02	0.00875545		
698.22	0.00955779		
698.42	0.00963238		
