Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0244122055182017	
Error Kobs	0.000543305785284273	
Koff	0.013539325110722	
Error Koff	0.00013834575812609	
Time1	Data1	Fit1	
531.42	0.14928646	0.14716944	
531.62	0.14889794	0.14734518	
531.82	0.14921041	0.14752005	
532.02	0.14987202	0.14769408	
532.22	0.14977299	0.14786726	
532.42	0.15014889	0.14803959	
532.62	0.15083953	0.14821109	
532.82	0.15083238	0.14838174	
533.02	0.15184955	0.14855157	
533.22	0.15179574	0.14872057	
533.42	0.1516997	0.14888875	
533.62	0.15213179	0.14905611	
533.82	0.15225006	0.14922265	
534.02	0.15247099	0.14938839	
534.22	0.15212581	0.14955331	
534.42	0.15171579	0.14971743	
534.62	0.15179081	0.14988076	
534.82	0.15085978	0.15004328	
535.02	0.15099648	0.15020502	
535.22	0.1508532	0.15036597	
535.42	0.15066128	0.15052613	
535.62	0.15046511	0.15068552	
535.82	0.15060736	0.15084412	
536.02	0.1510205	0.15100196	
536.22	0.15127819	0.15115903	
536.42	0.15099728	0.15131533	
536.62	0.1512477	0.15147087	
536.82	0.15156417	0.15162565	
537.02	0.15194044	0.15177968	
537.22	0.15134757	0.15193296	
537.42	0.151857	0.15208549	
537.62	0.15219363	0.15223728	
537.82	0.15216852	0.15238833	
538.02	0.1518286	0.15253864	
538.22	0.15160619	0.15268822	
538.42	0.15153566	0.15283708	
538.62	0.15212044	0.1529852	
538.82	0.15225759	0.15313261	
539.02	0.15303481	0.1532793	
539.22	0.1534229	0.15342528	
539.42	0.15375325	0.15357054	
539.62	0.15374135	0.15371509	
539.82	0.15409172	0.15385895	
540.02	0.15414651	0.1540021	
540.22	0.15434053	0.15414455	
540.42	0.15440481	0.15428631	
540.62	0.15468967	0.15442738	
540.82	0.15459593	0.15456776	
541.02	0.15451232	0.15470746	
541.22	0.15430403	0.15484648	
541.42	0.15442625	0.15498482	
541.62	0.15429348	0.15512249	
541.82	0.15442483	0.15525949	
542.02	0.1542651	0.15539582	
542.22	0.15472755	0.15553148	
542.42	0.15483609	0.15566649	
542.62	0.15546276	0.15580084	
542.82	0.15561003	0.15593453	
543.02	0.15593014	0.15606757	
543.22	0.15550049	0.15619997	
543.42	0.15565273	0.15633172	
543.62	0.15549009	0.15646282	
543.82	0.1552173	0.15659329	
544.02	0.15505078	0.15672313	
544.22	0.15595256	0.15685233	
544.42	0.15584794	0.1569809	
544.62	0.15560734	0.15710885	
544.82	0.15570372	0.15723617	
545.02	0.15546649	0.15736287	
545.22	0.15568883	0.15748896	
545.42	0.15577482	0.15761443	
545.62	0.15568437	0.15773929	
545.82	0.1560523	0.15786354	
546.02	0.15678599	0.15798719	
546.22	0.15726746	0.15811023	
546.42	0.15719007	0.15823268	
546.62	0.15789743	0.15835452	
546.82	0.15761551	0.15847578	
547.02	0.15757269	0.15859644	
547.22	0.15719813	0.15871652	
547.42	0.15787887	0.15883601	
547.62	0.15757315	0.15895492	
547.82	0.15726138	0.15907326	
548.02	0.15678077	0.15919101	
548.22	0.15669722	0.15930819	
548.42	0.15609335	0.1594248	
548.62	0.15641364	0.15954084	
548.82	0.15570002	0.15965632	
549.02	0.15523234	0.15977124	
549.22	0.15587523	0.15988559	
549.42	0.15526801	0.15999939	
549.62	0.15553134	0.16011263	
549.82	0.15646957	0.16022533	
550.02	0.15669584	0.16033747	
550.22	0.15644014	0.16044907	
550.42	0.15613755	0.16056012	
550.62	0.15627321	0.16067063	
550.82	0.1562493	0.16078061	
551.02	0.1564457	0.16089005	
551.22	0.15677984	0.16099895	
551.42	0.1570387	0.16110733	
551.62	0.15672629	0.16121518	
551.82	0.15716425	0.1613225	
552.02	0.15726762	0.1614293	
552.22	0.15754788	0.16153558	
552.42	0.15815376	0.16164134	
552.62	0.15829789	0.16174659	
552.82	0.15818175	0.16185132	
553.02	0.15860933	0.16195555	
553.22	0.15828798	0.16205926	
553.42	0.15795579	0.16216247	
553.62	0.15849937	0.16226518	
553.82	0.15871855	0.16236739	
554.02	0.15794327	0.1624691	
554.22	0.15783696	0.16257032	
554.42	0.15727474	0.16267104	
554.62	0.15788279	0.16277127	
554.82	0.1583619	0.16287101	
555.02	0.15798771	0.16297027	
555.22	0.15848541	0.16306905	
555.42	0.15849452	0.16316734	
555.62	0.15896374	0.16326515	
555.82	0.1594178	0.16336249	
556.02	0.15952935	0.16345936	
556.22	0.15981566	0.16355575	
556.42	0.16009854	0.16365167	
556.62	0.16007115	0.16374713	
556.82	0.15980031	0.16384212	
557.02	0.15916911	0.16393664	
557.22	0.15872453	0.16403071	
557.42	0.15924518	0.16412432	
557.62	0.15938153	0.16421747	
557.82	0.15961648	0.16431017	
558.02	0.15916735	0.16440242	
558.22	0.15900769	0.16449422	
558.42	0.15876681	0.16458557	
558.62	0.1589427	0.16467648	
558.82	0.15897593	0.16476694	
559.02	0.15858994	0.16485697	
559.22	0.15905903	0.16494655	
559.42	0.15854803	0.1650357	
559.62	0.15859733	0.16512442	
559.82	0.15884513	0.1652127	
560.02	0.15859948	0.16530055	
560.22	0.15858991	0.16538798	
560.42	0.15853372	0.16547497	
560.62	0.15854375	0.16556155	
560.82	0.15827346	0.1656477	
561.02	0.15862866	0.16573344	
561.22	0.15881518	0.16581875	
561.42	0.15932083	0.16590365	
561.62	0.16019496	0.16598814	
