	Sensor	Step Name	Step Type	Time (sec)	Binding (nm)	subtracted
16580	H1	Baseline	BASELINE	99.995	0.027191339	-0.0004940828904636874
16581	H1	Baseline	BASELINE	100.494	0.02321364	-0.007575666032744266
16582	H1	Baseline	BASELINE	100.994	0.026427524	0.00037520987539210173
16583	H1	Baseline	BASELINE	101.493004	0.021607116	-0.00858043643088422
16584	H1	Baseline	BASELINE	101.992	0.026643585	-0.0008576134815939441
16585	H1	Baseline	BASELINE	102.491	0.028064247	0.002425477407859944
16586	H1	Baseline	BASELINE	102.99	0.017669056	-0.010556065909577228
16587	H1	Baseline	BASELINE	103.49	0.026402062	0.0022162055000535474
16588	H1	Baseline	BASELINE	103.989	0.023052974	-0.006546064712119914
16589	H1	Baseline	BASELINE	104.488	0.022621965	-0.005133075140429355
16590	H1	Baseline	BASELINE	105.003	0.029573362	0.0012746961191169247
16591	H1	Baseline	BASELINE	105.502	0.023612922	-0.005241292960954524
16592	H1	Baseline	BASELINE	106.001	0.022732692	-0.004063158728195048
16593	H1	Baseline	BASELINE	106.5	0.029387608	0.000637764610337399
16594	H1	Baseline	BASELINE	107.0	0.020629574	-0.006176530815673686
16595	H1	Baseline	BASELINE	107.499	0.026944136	-0.000978528954101421
16596	H1	Baseline	BASELINE	107.998	0.023626078	-0.004606799654675342
16597	H1	Baseline	BASELINE	108.497	0.024365244	-0.0025892885998018756
16598	H1	Baseline	BASELINE	108.996	0.028185587	-0.0009758150801189914
16599	H1	Baseline	BASELINE	109.496	0.020508466	-0.008752103395772792
16600	H1	Baseline	BASELINE	109.995	0.029036269	0.0019534104838839993
16601	H1	Baseline	BASELINE	110.494	0.028546965	-0.0004004644826181903
16602	H1	Baseline	BASELINE	110.993004	0.022235606	-0.0046820114031561385
16603	H1	Baseline	BASELINE	111.492	0.028445737	0.0015240130349866376
16604	H1	Baseline	BASELINE	111.991	0.02044094	-0.010362138472510196
16605	H1	Baseline	BASELINE	112.491	0.024648326	-0.0019060461446770206
16606	H1	Baseline	BASELINE	112.99	0.024880527	-0.001546024777007915
16607	H1	Baseline	BASELINE	113.505	0.02291745	-0.006159683190298892
16608	H1	Baseline	BASELINE	113.988	0.029429441	0.0013399874195329175
16609	H1	Baseline	BASELINE	114.503	0.027204657	-0.0004058717414864078
16610	H1	Baseline	BASELINE	115.002	0.023457898	-0.0038688159212597385
16611	H1	Baseline	BASELINE	115.502	0.030276055	0.0006536585613957867
16612	H1	Baseline	BASELINE	116.001	0.023173891	-0.004269033171249248
16613	H1	Baseline	BASELINE	116.5	0.023499418	-0.0035447100773581043
16614	H1	Baseline	BASELINE	116.999	0.027846694	0.0008167107924691662
16615	H1	Baseline	BASELINE	117.498	0.020730127	-0.007387602202607013
16616	H1	Baseline	BASELINE	117.998	0.027602488	-0.002295068897319652
16617	H1	Baseline	BASELINE	118.497	0.024101915	-0.0030015590265520587
16618	H1	Baseline	BASELINE	118.996	0.024359174	-0.002224016435457088
16619	H1	Baseline	BASELINE	119.495	0.028404403	0.001374776042985104
16620	H1	Baseline	BASELINE	119.994	0.02102954	-0.007816196851445056
16621	H1	Baseline	BASELINE	120.493004	0.028188247	0.0012913016006223187
16622	H1	Baseline	BASELINE	120.993004	0.023507992	-0.004226535059524394
16623	H1	Baseline	BASELINE	121.492	0.021618979	-0.005141809083534099
16624	H1	Baseline	BASELINE	121.991	0.031695034	0.005231405176209592
16625	H1	Baseline	BASELINE	122.49	0.022370454	-0.00670810925216756
16626	H1	Baseline	BASELINE	122.989	0.022250008	-0.006761280320597507
16627	H1	Baseline	BASELINE	123.489	0.026689203	-0.0015076729133852496
16628	H1	Baseline	BASELINE	124.003	0.021674732	-0.008507664747548915
16629	H1	Baseline	BASELINE	124.503	0.02784865	-7.381985337815431e-05
16630	H1	Baseline	BASELINE	125.002	0.022373265	-0.010866630323243953
16631	H1	Baseline	BASELINE	125.501	0.027138181	-0.0024859024807938114
16632	H1	Baseline	BASELINE	126.0	0.027427796	-0.0006895265206821933
16633	H1	Baseline	BASELINE	126.499	0.018238463	-0.010448822252465106
16634	H1	Baseline	BASELINE	126.999	0.02843878	0.0015533869489900098
16635	H1	Baseline	BASELINE	127.498	0.021237355	-0.006211492665124751
